id,full_name,first_name,last_name,is_active,GP_TOTAL,MIN_PG,AST_PCT_percentile,DREB_PCT_percentile,OREB_PCT_percentile,TOV_PCT_percentile,Midrange_volume_pm_percentile,Midrange_efficiency_percentile,Paint_volume_pm_percentile,Paint_efficiency_percentile,Corner_volume_pm_percentile,Corner_efficiency_percentile,Above_the_break_volume_pm_percentile,Above_the_break_efficiency_percentile,Tight_volume_pm_percentile,Tight_efficiency_percentile,Open_volume_pm_percentile,Open_efficiency_percentile,Catch_and_Shoot_Volume_percentile,Catch_and_Shoot_Efficiency_percentile,Pull_up_Volume_percentile,Pull_up_Efficiency_percentile,Paint_defense_volume_pm_percentile,Paint_defense_deterance_percentile,Perimeter_defense_volume_pm_percentile,Perimeter_defense_deterance_percentile
1629003,Shake Milton,Shake,Milton,True,55,21.44,0.7846441947565543,0.1947565543071161,0.4400749063670412,0.15355805243445692,0.6217228464419475,0.22846441947565543,0.5880149812734082,0.24719101123595505,0.3895131086142322,0.5692883895131086,0.352059925093633,0.29213483146067415,0.5543071161048689,0.16853932584269662,0.36329588014981273,0.27340823970037453,0.3146067415730337,0.3895131086142322,0.6891385767790262,0.36142322097378277,0.16853932584269662,0.8539325842696629,0.10486891385767791,0.6928838951310862
1629011,Mitchell Robinson,Mitchell,Robinson,True,72,25.71,0.026217228464419477,0.7565543071161048,0.9868913857677902,0.8202247191011236,0.003745318352059925,0.020599250936329586,0.5917602996254682,1.0,0.031835205992509365,0.03932584269662921,0.0149812734082397,0.0299625468164794,0.43820224719101125,1.0,0.003745318352059925,1.0,0.003745318352059925,0.00749063670411985,0.003745318352059925,0.0056179775280898875,0.6704119850187266,0.951310861423221,0.8426966292134831,0.5411985018726592
1629013,Landry Shamet,Landry,Shamet,True,69,20.86,0.4887640449438202,0.06554307116104868,0.05056179775280899,0.07865168539325842,0.4868913857677903,0.7284644194756554,0.0898876404494382,0.0449438202247191,0.9288389513108615,0.6217228464419475,0.7640449438202247,0.6235955056179775,0.18726591760299627,0.11235955056179775,0.704119850187266,0.5093632958801498,0.9363295880149812,0.7790262172284644,0.5655430711610487,0.42134831460674155,0.1647940074906367,0.8014981273408239,0.14232209737827714,0.8707865168539326
1629014,Anfernee Simons,Anfernee,Simons,True,57,29.49,0.6423220973782772,0.07677902621722846,0.14232209737827714,0.5617977528089888,0.8352059925093633,0.7397003745318352,0.31086142322097376,0.24344569288389514,0.3258426966292135,0.7453183520599251,0.9850187265917603,0.9250936329588015,0.7340823970037453,0.250936329588015,0.8726591760299626,0.8651685393258427,0.6853932584269663,0.9925093632958801,0.9325842696629213,0.8127340823970037,0.36329588014981273,0.0299625468164794,0.3857677902621723,0.13108614232209737
1629018,Gary Trent Jr.,Gary,Trent Jr.,True,70,34.97,0.09925093632958802,0.05056179775280899,0.028089887640449437,0.0149812734082397,0.9250936329588015,0.6292134831460674,0.27340823970037453,0.07116104868913857,0.7116104868913857,0.4868913857677903,0.8576779026217228,0.8389513108614233,0.5805243445692884,0.04119850187265917,0.8876404494382022,0.6779026217228464,0.6741573033707865,0.8576779026217228,0.9026217228464419,0.7134831460674157,0.011235955056179775,0.10112359550561797,0.04868913857677903,0.11797752808988764
1629020,Jarred Vanderbilt,Jarred,Vanderbilt,True,74,25.43,0.4887640449438202,0.8932584269662921,0.9400749063670412,0.8951310861423221,0.03745318352059925,0.020599250936329586,0.5767790262172284,0.7677902621722846,0.10861423220973783,0.0898876404494382,0.056179775280898875,0.0299625468164794,0.37453183520599254,0.6704119850187266,0.0299625468164794,0.9775280898876404,0.04119850187265917,0.026217228464419477,0.0149812734082397,0.20411985018726592,0.5805243445692884,0.7659176029962547,0.4344569288389513,0.6928838951310862
1629021,Moritz Wagner,Moritz,Wagner,True,63,15.22,0.398876404494382,0.8370786516853933,0.6591760299625468,0.4943820224719101,0.10112359550561797,0.020599250936329586,0.6479400749063671,0.9625468164794008,0.34831460674157305,0.6629213483146067,0.8726591760299626,0.37453183520599254,0.5355805243445693,0.9400749063670412,0.7715355805243446,0.40823970037453183,0.9550561797752809,0.350187265917603,0.08614232209737828,0.03745318352059925,0.8014981273408239,0.07303370786516854,0.9775280898876404,0.08801498127340825
1629022,Lonnie Walker IV,Lonnie,Walker IV,True,70,23.03,0.3782771535580524,0.20786516853932585,0.05056179775280899,0.12359550561797752,0.9363295880149812,0.49063670411985016,0.3970037453183521,0.5318352059925093,0.7191011235955056,0.5112359550561798,0.8277153558052435,0.26591760299625467,0.5168539325842697,0.12359550561797752,0.9812734082397003,0.1760299625468165,0.8726591760299626,0.30337078651685395,0.8202247191011236,0.34831460674157305,0.13857677902621723,0.7228464419475655,0.09363295880149813,0.7172284644194756
1629023,P.J. Washington,P.J.,Washington,True,65,27.17,0.6254681647940075,0.6048689138576779,0.6647940074906367,0.6591760299625468,0.052434456928838954,0.18164794007490637,0.2958801498127341,0.7790262172284644,0.6853932584269663,0.2546816479400749,0.599250936329588,0.8295880149812734,0.22846441947565543,0.704119850187266,0.45318352059925093,0.7453183520599251,0.7827715355805244,0.5655430711610487,0.23595505617977527,0.6273408239700374,0.7902621722846442,0.6348314606741573,0.6329588014981273,0.702247191011236
1629027,Trae Young,Trae,Young,True,76,34.84,0.8820224719101124,0.12359550561797752,0.2808988764044944,0.7265917602996255,0.9138576779026217,0.9588014981273408,0.8426966292134831,0.1797752808988764,0.14606741573033707,0.9700374531835206,0.951310861423221,0.7546816479400749,0.7940074906367042,0.2546816479400749,0.9962546816479401,0.6704119850187266,0.09737827715355805,0.9887640449438202,0.9962546816479401,0.9119850187265918,0.08614232209737828,0.10861423220973783,0.1947565543071161,0.5805243445692884
